NeuroDOth,"Neurological deficit: other deficits (e.g. cerebellar, gait)","YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if neurological deficit (other than mental status) is answered as no or missing.,
OSI,"Clinical evidence of other (non-head) substantial injuries: (includes but not limited to fractures, intra-abdominal injuries, intra-thoracic injuries and lacerations requiring operating room repair.)","YesNo
 0  No
 1  Yes",,
OSIExtremity,Other (non-head) substantial injury: extremity,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,
OSICut,Other (non-head) substantial injury: laceration requiring repair in the operating room,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,
OSICspine,Other (non-head) substantial injury: c-spine,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,
OSIFlank,Other (non-head) substantial injury: chest/back/flank,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,
OSIAbdomen,Other (non-head) substantial injury: intra-abdominal,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,
OSIPelvis,Other (non-head) substantial injury: pelvis,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,
OSIOth,Other (non-head) substantial injury: other,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,
Drugs,Clinical suspicion for alcohol or drug intoxication (not by laboratory testing)?,"YesNo
 0  No
 1  Yes",,
CTForm1,"Is a head CT, skull x-ray or head MRI being ordered or obtained?","YesNo
 0  No
 1  Yes","This variable only indicates if the physician was planning on obtaining a CT when the form was filled out. The physician could have changed his/her mind once the form was completed.
 

 This variable does not mean a CT was actually ordered. To see if a CT was actually ordered use the CTDone or EDCT variables.",x
IndAge,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: young age,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndAmnesia,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: amnesia,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndAMS,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: decreased mental status,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndClinSFx,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: clinical evidence of skull fracture,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndHA,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: headache,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndHema,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: scalp hematoma,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndLOC,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: loss of consciousness,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndMech,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: mechanism,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndNeuroD,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: neurological deficit (other than mental status),"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndRqstMD,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: referring MD request,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndRqstParent,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: parental anxiety/request,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndRqstTrauma,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: trauma team request,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndSeiz,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: seizure,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndVomit,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: vomiting,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndXraySFx,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: skull fracture on x-ray,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
IndOth,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: other,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x
CTSed,Was patient given or will patient be given pharmacological sedation for head CT scan?,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.",x
CTSedAgitate,Reason for pharmacological sedation: agitation/inability to hold still,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable was marked if question of whether patient was given or will patient be given pharmacological sedation for head CT is answered as no, not applicable, or missing.
 

 More than one reason for pharmacological sedation can be selected for each patient.",x
CTSedAge,Reason for pharmacological sedation: young age,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable was marked if question of whether patient was given or will patient be given pharmacological sedation for head CT is answered as no, not applicable, or missing.
 

 More than one reason for pharmacological sedation can be selected for each patient.",x
CTSedRqst,Reason for pharmacological sedation: CT technician request,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable was marked if question of whether patient was given or will patient be given pharmacological sedation for head CT is answered as no, not applicable, or missing.
 

 More than one reason for pharmacological sedation can be selected for each patient.",x
CTSedOth,Reason for pharmacological sedation: other,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable was marked if question of whether patient was given or will patient be given pharmacological sedation for head CT is answered as no, not applicable, or missing.
 

 More than one reason for pharmacological sedation can be selected for each patient.",x
AgeInMonth,Age in months,Numeric,This is computed from the time of ED evaluation or injury date if ED evaluation is missing.,
AgeinYears,Age in years,Numeric,This is computed from the time of ED evaluation or injury date if ED evaluation is missing.,
AgeTwoPlus,Age: < 2 years,"AgeTwo
 1  < 2 years
 2  > = 2 years",This is computed from the time of ED evaluation or injury date if ED evaluation is missing.,
Gender,Gender,"Gender
 1  Male
 2  Female",,
Ethnicity,Ethnicity,"Ethn
 1 Hispanic
 2  Non-Hispanic",As reported by the physician not by the patient/guardian.,x
Race,Race,"Race
 1 White
 2 Black
 3 Asian
 4 American Indian/Alaskan Native
 5 Pacific Islander
 90 Other",As reported by the physician not by the patient/guardian.,x
Observed,Was the patient observed in the ED after the physician's initial ED Evaluation to determine whether to obtain head CT?,"YesNo
 0  No
 1  Yes",,x
EDDisposition,ED Disposition,"Disp
 1 Home
 2 OR
 3 Admit - general inpatient
 4 Admit short-stay (< 24 hr)/observation unit
 5 ICU
 6 Transferred to another hospital
 7 AMA
 8 Death in ED
 90 Other",,x
CTDone,Any head CT performed?,"YesNo
 0  No
 1  Yes","This indicates if any head CT was performed regardless of where it was obtained except if the ED head CT was marked as ""not interpretable"".",x
EDCT,Head CT performed in ED,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","ED head CT was defined as any head CT performed in the ED except if the head CT was ""not interpretable"".
 

 Not applicable is marked if any CT done is answered as no.",x
PosCT,TBI on CT (determined by PI),"YesNoNA
 0  No
 1  Yes
 92 Not applicable","The first traumatic head CT of any patient was reviewed in order to determine if there was a TBI on CT. TBI on CT is defined as any of the traumatic findings (1-23) below, except for skull fracture. Skull fractures were not regarded as TBIs unless the fracture was depressed by at least the width of the skull.
 

 Not applicable is marked if no head CT was performed.",x
Finding1,Traumatic finding: cerebellar hemorrhage,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding2,Traumatic finding: cerebral contusion,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding3,Traumatic finding: cerebral edema,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding4,Traumatic finding: cerebral hemorrhage/intracerebral hematoma,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding5,Traumatic finding: diastasis of the skull,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding6,Traumatic finding: epidural hematoma,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding7,Traumatic finding: extra-axial hematoma,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding8,Traumatic finding: intraventricular hemorrhage,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding9,Traumatic finding: midline shift/shift of brain structures,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding10,Traumatic finding: pneumocephalus,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding11,Traumatic finding: skull fracture,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding12,Traumatic finding: subarachnoid hemorrhage,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding13,Traumatic finding: subdural hematoma,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding14,Traumatic finding: traumatic infarction,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding20,Traumatic finding (extra finding by PI): diffuse axonal injury,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding21,Traumatic finding (extra finding by PI): herniation,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding22,Traumatic finding (extra finding by PI):shear injury,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
Finding23,Traumatic finding (extra finding by PI): sigmoid sinus thrombosis,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x
DeathTBI,Death due to TBI,"YesNo
 0  No
 1  Yes",,RES
HospHead,Hospitalized for 2 or more nights due to head injury,"YesNo
 0  No
 1  Yes",,x
HospHeadPosCT,Hospitalized for 2 or more nights due to head injury and had TBI on CT,"YesNo
 0  No
 1  Yes","The hospitalization had to be due to the traumatic brain injury and not for social reasons.
 

 This was defined as a patient having been hospitalized 2 or more nights due to a head injury and also having a TBI on CT.",RES
Intub24Head,Intubated greater than 24 hours for head trauma,"YesNo
 0  No
 1  Yes",,RES
Neurosurgery,Neurosurgery,"YesNo
 0  No
 1  Yes",,RES
PosIntFinal,Clinically-important traumatic brain injury,"YesNo
 0  No
 1  Yes","Clinically-important TBI was defined as having at least one of the following: (1) neurosurgical procedure performed, (2) intubated > 24 hours for head trauma, (3) death due to TBI or in the ED, (4) hospitalized for >= 2 nights due to head injury and having a TBI on CT.",MAIN RES
