,rule,coef
275,NeuroD_nan <= 0.5 and SFxPalp_Unclear > 0.5 and SeizLen_>15 min <= 0.5 and High_impact_InjSev_High <= 0.5,-0.23763
272,SFxPalp_Unclear > 0.5 and High_impact_InjSev_High <= 0.5,-0.21518
397,SFxPalpDepress_1.0 <= 0.5 and AMSAgitated_1 > 0.5 and ActNorm_nan <= 0.5,-2.4854
255,SFxPalpDepress_92.0 > 0.5 and AMSAgitated_1 > 0.5 and InjuryMech_OtherWheelCrash <= 0.5,-0.46104
280,AgeInMonth > 210.5 and OSIOth_1 <= 0.5 and SFxBasOto_0 <= 0.5,-116.80724
253,LOCSeparate_Suspected <= 0.5 and SFxBasHem_1 <= 0.5 and SFxPalpDepress_1.0 <= 0.5 and AMSAgitated_1 > 0.5,2.43421
290,AMSOth_1 > 0.5 and InjuryMech_BikeCol <= 0.5 and LocLen_5 sec - 1 min <= 0.5 and NeuroDReflex_1 <= 0.5,-0.75348
326,ClavFro_0 <= 0.5 and HASeverity_Severe > 0.5,-0.4462
391,Drugs_1.0 <= 0.5 and OSICspine_1 > 0.5,-5.82425
271,OSIFlank_1 > 0.5 and AgeInMonth <= 211.5 and AgeInMonth > 18.5,-2.33542
293,ClavFro_1 <= 0.5 and AMSAgitated_1 > 0.5 and AMSSleep_1 <= 0.5,-0.68219
321,AgeInMonth > 211.5 and HemaLoc_Frontal <= 0.5,37.66571
269,AMSAgitated_1 > 0.5 and NeuroDReflex_1 <= 0.5 and Hema_0.0 > 0.5,0.36792
283,NeuroDMotor_0 > 0.5 and InjuryMech_FallToGround <= 0.5,-21.24438
278,ClavFro_1 <= 0.5 and AgeInMonth <= 0.5 and HASeverity_Severe <= 0.5,-1.64102
398,SFxBasHem_1 <= 0.5 and NeuroDOth_1 > 0.5,4.39473
419,AMSRepeat_1 > 0.5,8.62985
400,AMSRepeat_1 > 0.5 and SFxBasRet_1 <= 0.5,9.36614
399,ActNorm_nan > 0.5,-1.65611
265,AMSRepeat_1 > 0.5 and ActNorm_nan <= 0.5,6.91261
395,SFxBasRet_1 <= 0.5 and LocLen_>5 min > 0.5,-1.03095
405,LocLen_>5 min > 0.5,-0.65474
300,AgeInMonth <= 0.5 and ClavFro_0 <= 0.5,0.54171
245,SFxPalpDepress_1.0 <= 0.5 and AgeInMonth <= 210.5 and AMSRepeat_1 > 0.5 and SFxBasOto_0 <= 0.5,-75.14719
260,AMSRepeat_1 > 0.5 and LocLen_>5 min <= 0.5 and HASeverity_Severe <= 0.5,13.75174
246,AMSRepeat_1 > 0.5 and Vomit_0.0 > 0.5,10.72323
247,AMSRepeat_1 > 0.5 and LocLen_5 sec - 1 min <= 0.5,7.51212
478,OSIExtremity_92 > 0.5 and AMSAgitated_1 > 0.5 and NeuroDReflex_1 <= 0.5 and Hema_0.0 <= 0.5,-0.06339
252,AMSRepeat_1 > 0.5 and AgeinYears <= 15.0,8.76478
425,SFxBasRet_0 > 0.5 and HASeverity_Mild <= 0.5 and SeizLen_>15 min <= 0.5,-2.20845
410,SFxBasPer_0 <= 0.5 and SeizOccur_Immediately on contact > 0.5 and OSICut_1 <= 0.5,-2.07445
422,AMSSlow_1 > 0.5 and InjuryMech_Sports <= 0.5 and LOCSeparate_Yes > 0.5,1.626
264,High_impact_InjSev_Moderate > 0.5 and AMSRepeat_1 > 0.5,8.94667
413,SFxBasPer_0 > 0.5,-3.18854
286,OSIAbdomen_92 > 0.5 and Drugs_1.0 > 0.5,1.44374
306,ActNorm_nan > 0.5 and HASeverity_Not applicable > 0.5,-23.06627
480,HemaSize_Medium <= 0.5 and ClavFro_0 > 0.5 and HASeverity_Severe > 0.5,2.07688
499,LOCSeparate_Suspected > 0.5 and SFxBasHem_1 <= 0.5 and SFxPalpDepress_1.0 <= 0.5 and AgeinYears <= 1.5,-23.50672
262,SFxBasRet_0 > 0.5 and HASeverity_Moderate <= 0.5,-6.58211
318,AgeInMonth <= 8.5 and AMSRepeat_1 <= 0.5 and ClavPar_1 <= 0.5 and HemaSize_Large > 0.5,-2.94264
299,NeuroDMotor_1 <= 0.5 and SFxBasRet_1 <= 0.5 and LocLen_>5 min > 0.5 and InjuryMech_OtherWheelCrash <= 0.5 and Hema_0.0 > 0.5,0.54805
502,SFxPalpDepress_1.0 <= 0.5 and AgeInMonth > 0.5 and AMSAgitated_0 > 0.5 and InjuryMech_ObjStruckHead > 0.5,-0.99186
243,SFxBasRhi_0 > 0.5 and AgeinYears <= 8.5,8.22095
263,High_impact_InjSev_Moderate > 0.5 and LocLen_>5 min > 0.5,-0.52091
428,SFxBasPer_0 > 0.5 and AgeInMonth > 13.5 and OSICut_1 <= 0.5,-2.23424
402,SFxPalp_Yes > 0.5,6.11768
411,SFxPalpDepress_1.0 <= 0.5 and SeizLen_1-5 min > 0.5,2.22563
481,AgeInMonth <= 7.5 and HemaLoc_Parietal/Temporal > 0.5 and SeizOccur_>30 minutes after injury <= 0.5 and OSIExtremity_92 > 0.5 and HemaSize_Large > 0.5,5.53809
412,SFxPalpDepress_92.0 <= 0.5,2.45883
229,SFxPalpDepress_92.0 <= 0.5 and InjuryMech_OtherWheelCrash <= 0.5,1.99509
490,SFxPalpDepress_92.0 <= 0.5 and HemaSize_Small <= 0.5,1.88752
454,SFxBasRet_0 > 0.5 and ClavFace_1 <= 0.5,-9.18146
220,SFxBasHem_1 > 0.5 and Sedated_1.0 <= 0.5,0.13744
237,SFxPalp_Yes > 0.5 and AMSRepeat_0 <= 0.5,2.53469
409,SFxBasHem_1 > 0.5,0.20017
230,SFxBasPer_0 <= 0.5 and SFxPalp_Yes > 0.5 and Vomit_0.0 > 0.5,-15.36034
424,HAStart_nan > 0.5,-3.32251
420,OSIPelvis_1 > 0.5 and SeizLen_5-15 min <= 0.5,-5.71701
404,OSIPelvis_1 > 0.5 and AMSRepeat_1 <= 0.5 and SFxPalpDepress_0.0 <= 0.5,14.59412
427,SFxBasHem_1 > 0.5 and InjuryMech_Other <= 0.5,1.20937
305,ClavFace_1 <= 0.5 and SeizOccur_>30 minutes after injury <= 0.5 and LocLen_5 sec - 1 min > 0.5 and HemaSize_Small > 0.5 and OSICspine_1 <= 0.5,-20.32003
403,AgeInMonth <= 8.5 and AMSRepeat_1 <= 0.5 and AMSAgitated_1 > 0.5 and HemaSize_Large <= 0.5,0.0595
304,OSIPelvis_1 > 0.5 and AMSOth_0 <= 0.5,-6.58563
493,ClavFro_1 > 0.5 and AMSAgitated_1 > 0.5 and AMSSleep_1 <= 0.5,1.81904
267,SFxPalp_No <= 0.5 and SFxPalpDepress_0.0 <= 0.5 and HemaLoc_Parietal/Temporal <= 0.5 and High_impact_InjSev_High > 0.5,-0.52477
465,SFxPalpDepress_1.0 <= 0.5 and AgeInMonth <= 0.5 and ClavFro_92 <= 0.5 and HemaSize_Small <= 0.5,0.67548
235,SFxBasHem_1 <= 0.5 and HASeverity_Moderate <= 0.5 and SFxBasOto_0 > 0.5,-21.60998
233,LOCSeparate_No > 0.5 and SFxBasHem_1 > 0.5,1.37581
488,NeuroDMotor_1 <= 0.5 and SFxBasRet_1 <= 0.5 and Vomit_0.0 <= 0.5 and InjuryMech_OtherWheelCrash > 0.5,-6.32479
222,SFxBasPer_0 > 0.5 and AgeinYears > 4.0,-17.28276
251,SFxBasRet_0 > 0.5 and ClavFace_1 > 0.5,4.09595
472,High_impact_InjSev_Moderate <= 0.5 and LocLen_>5 min > 0.5,-0.11221
261,SFxPalp_Unclear > 0.5 and High_impact_InjSev_High > 0.5 and HemaSize_Large <= 0.5,19.19671
227,SFxBasHem_1 > 0.5 and SFxPalpDepress_1.0 <= 0.5 and VomitNbr_Not applicable > 0.5,-2.69757
226,SFxBasHem_1 > 0.5 and Vomit_1.0 <= 0.5,0.78267
501,ActNorm_nan > 0.5 and HASeverity_Not applicable <= 0.5,4.89023
504,AgeInMonth <= 8.5 and AMSRepeat_1 <= 0.5 and ClavPar_1 > 0.5 and HemaSize_Large > 0.5,-3.9613
221,SFxBasHem_1 > 0.5 and HASeverity_Moderate <= 0.5 and SFxBasOto_0 > 0.5,24.54957
239,SFxBasHem_1 > 0.5 and AgeInMonth <= 123.5,-7.90506
225,NeuroD_nan <= 0.5 and SFxPalp_Unclear > 0.5 and SeizLen_>15 min <= 0.5 and High_impact_InjSev_High > 0.5 and AgeinYears <= 1.5,-18.01725
250,NeuroD_nan <= 0.5 and SFxBasHem_1 <= 0.5 and NeuroDSensory_1 > 0.5,-5.25639
434,SFxBasPer_0 > 0.5 and AgeinYears <= 4.0,3.40114
322,AgeInMonth <= 7.5 and HemaLoc_Parietal/Temporal <= 0.5 and SeizOccur_>30 minutes after injury <= 0.5 and HemaSize_Large > 0.5,3.17594
491,HAStart_Not applicable > 0.5 and AMSAgitated_1 > 0.5 and AMSSleep_1 > 0.5,2.16711
476,AMSOth_1 > 0.5 and AgeInMonth > 178.5,1.19689
475,NeuroDMotor_1 > 0.5,-2.93732
407,NeuroDMotor_1 > 0.5 and HAStart_nan <= 0.5,-3.3384
453,SFxPalp_No <= 0.5 and SFxPalpDepress_0.0 <= 0.5 and HemaLoc_Parietal/Temporal > 0.5 and High_impact_InjSev_High > 0.5,-0.96948
416,OSIAbdomen_1 <= 0.5 and SFxPalpDepress_1.0 <= 0.5 and AgeInMonth > 0.5 and SFxPalp_Unclear > 0.5 and AMSAgitated_0 > 0.5 and InjuryMech_ObjStruckHead <= 0.5,-1.34569
466,SFxBasHem_1 > 0.5 and ClavFro_92 <= 0.5,-10.974
459,SFxBasHem_1 <= 0.5 and SFxPalpDepress_92.0 <= 0.5 and Hema_0.0 <= 0.5,-23.48959
482,AgeInMonth <= 0.5 and ClavFro_0 > 0.5,-0.22282
457,NeuroD_nan <= 0.5 and SFxPalp_Unclear > 0.5 and SeizLen_>15 min <= 0.5 and High_impact_InjSev_High > 0.5 and AgeinYears > 1.5,-15.01971
450,SFxBasRhi_0 > 0.5 and AgeinYears > 8.5,-39.91139
298,Drugs_1.0 > 0.5 and ClavFro_92 > 0.5,-10.90872
408,SFxPalpDepress_1.0 > 0.5,1.5785
232,ClavOcc_0 > 0.5 and SFxPalpDepress_92.0 <= 0.5,1.6755
451,High_impact_InjSev_Moderate <= 0.5 and AMSRepeat_1 > 0.5,9.03214
406,SFxPalpDepress_1.0 > 0.5 and AMSAgitated_1 <= 0.5,18.92775
320,HemaSize_Medium > 0.5 and ClavFro_0 > 0.5 and HASeverity_Severe > 0.5,-0.53038
495,NeuroDMotor_1 <= 0.5 and SFxBasRet_1 <= 0.5 and LocLen_>5 min > 0.5 and InjuryMech_OtherWheelCrash <= 0.5 and Hema_0.0 <= 0.5,2.53076
224,SFxPalpDepress_1.0 > 0.5 and AgeInMonth <= 210.5 and SFxBasOto_0 <= 0.5,2.76165
414,SFxPalp_Unclear > 0.5 and High_impact_InjSev_High > 0.5 and HemaSize_Large > 0.5,17.59819
442,SFxBasHem_1 > 0.5 and Amnesia_verb_0.0 > 0.5,11.32598
303,AMSSlow_1 > 0.5 and InjuryMech_Sports > 0.5 and LOCSeparate_Yes > 0.5,0.51318
421,SFxBasPer_1 > 0.5,0.11963
288,SFxBasHem_1 > 0.5 and HemaLoc_Not applicable > 0.5,-11.59807
238,SFxBasRet_0 > 0.5 and SFxBasPer_0 <= 0.5 and SFxPalp_Yes <= 0.5,10.14798
505,AgeInMonth > 211.5 and HemaLoc_Frontal > 0.5,121.89872
231,SFxBasHem_1 <= 0.5 and SFxPalpDepress_1.0 > 0.5 and AMSAgitated_0 <= 0.5,4.25758
440,SFxBasPer_1 > 0.5 and HASeverity_Severe <= 0.5,0.20741
452,OSIAbdomen_1 > 0.5 and SFxPalpDepress_1.0 <= 0.5 and AgeInMonth > 0.5 and AMSAgitated_0 > 0.5 and InjuryMech_ObjStruckHead <= 0.5,-0.69426
496,LOCSeparate_Suspected > 0.5 and AMSAgitated_0 <= 0.5 and NeuroDReflex_1 <= 0.5 and HemaSize_Large > 0.5,14.28495
477,SFxBasHem_1 <= 0.5 and SFxPalpDepress_92.0 > 0.5 and OSIOth_1 > 0.5 and AMSSleep_0 > 0.5 and ActNorm_nan <= 0.5,63.11491
432,NeuroDMotor_0 > 0.5 and InjuryMech_FallToGround > 0.5,0.36408
500,SeizOccur_>30 minutes after injury <= 0.5 and LocLen_5 sec - 1 min > 0.5 and OSICspine_1 > 0.5,-12.75526
418,AMSOth_1 > 0.5 and InjuryMech_BikeCol <= 0.5 and LocLen_5 sec - 1 min > 0.5 and NeuroDReflex_1 <= 0.5,1.43998
487,SFxBasHem_1 > 0.5 and HemaLoc_Not applicable <= 0.5,12.32074
455,SFxBasRet_0 > 0.5 and HASeverity_Moderate > 0.5,0.37713
463,AMSRepeat_1 > 0.5 and AgeinYears > 15.0,11.09155
444,ClavOcc_0 <= 0.5 and SFxPalpDepress_92.0 <= 0.5,2.30382
484,Sedated_0.0 <= 0.5,-5.22774
240,SFxBasHem_1 > 0.5 and Amnesia_verb_0.0 <= 0.5,-7.66343
433,HASeverity_Moderate > 0.5 and SFxBasOto_0 > 0.5,1.82126
438,AgeInMonth <= 0.5 and HemaLoc_Parietal/Temporal > 0.5 and NeuroDReflex_1 <= 0.5,5.11034
295,OSIExtremity_92 <= 0.5 and AMSAgitated_1 > 0.5 and NeuroDReflex_1 <= 0.5 and Hema_0.0 <= 0.5,0.62888
474,OSIAbdomen_92 <= 0.5 and Drugs_1.0 > 0.5,-4.38702
234,SFxPalpDepress_1.0 > 0.5 and AgeInMonth > 18.5 and ActNorm_nan <= 0.5,1.73707
431,SFxPalpDepress_0.0 > 0.5,10.20882
435,HA_verb_nan > 0.5,-0.23085
242,SFxBasHem_1 <= 0.5 and SFxPalpDepress_92.0 <= 0.5 and Hema_0.0 > 0.5,-22.76141
486,SFxBasHem_1 <= 0.5 and SFxPalpDepress_92.0 > 0.5 and AMSSleep_0 > 0.5 and ActNorm_nan > 0.5,-1.87464
460,SFxBasHem_1 <= 0.5 and SeizOccur_>30 minutes after injury > 0.5,-4.68449
273,SFxBasHem_1 > 0.5 and ClavFro_92 > 0.5,24.68049
498,NeuroD_nan > 0.5,-7.92762
445,AMSRepeat_1 > 0.5 and Vomit_0.0 <= 0.5,4.17458
