,rule,coef
93,Seiz_0.0,-0.00246
90,Hema_0.0,0.52315
89,AMSSleep_1,3.27432
68,SFxBasHem_92,-0.00099
69,HemaLoc_Not applicable,0.40964
72,VomitLast_nan,3.1555
73,HemaSize_Small,1.07639
74,OSI_0.0,0.29101
77,VomitStart_Within 1 hr of event,-0.01441
78,AMSOth_0,0.2525
79,Hema_1.0,-0.20369
83,ClavPar_0,0.05575
84,InjuryMech_RanIntoStatObj,-0.50479
86,AMS_0.0,0.1378
88,Amnesia_verb_91.0,0.76173
340,SeizLen_>15 min <= 0.5,0.02923
324,SFxBasOto_1 <= 0.5,-0.04243
316,NeuroDReflex_1 <= 0.5,-0.04088
325,SeizLen_5-15 min <= 0.5,-0.0325
339,SFxBas_nan <= 0.5,0.01903
296,Sedated_1.0 <= 0.5,0.07901
337,FontBulg_0.0 > 0.5,0.00054
326,OSICut_1 <= 0.5,-0.04066
303,SFxPalpDepress_0.0 <= 0.5,-0.028
310,SFxPalpDepress_1.0 <= 0.5,-0.05965
330,SFxBasPer_1 <= 0.5,0.02049
319,NeuroDMotor_1 <= 0.5,-0.03524
304,SFxBasPer_1 <= 0.5 and OSICut_1 <= 0.5,0.05879
301,SFxBasHem_1 <= 0.5,-0.00747
290,SFxBasHem_0 <= 0.5,-0.05023
327,SFxBasHem_1 <= 0.5 and SeizLen_>15 min <= 0.5,-0.01024
295,SFxBasHem_1 <= 0.5 and SFxBasOto_1 <= 0.5,-0.2433
287,OSIPelvis_1 <= 0.5,0.0011
312,SFxBasHem_1 <= 0.5 and SeizOccur_>30 minutes after injury <= 0.5,-0.09911
311,OSIPelvis_1 <= 0.5 and SFxBasOto_1 <= 0.5,0.00534
313,SFxBasPer_0 <= 0.5,-0.02237
338,SFxPalp_Yes <= 0.5 and OSICut_1 <= 0.5,-0.07464
318,LocLen_>5 min <= 0.5,-0.04234
321,SFxBasOto_1 <= 0.5 and SeizOccur_Immediately on contact <= 0.5,0.01059
328,NeuroDMotor_1 <= 0.5 and SFxBasHem_1 <= 0.5,-0.08263
320,SFxBasRet_0 <= 0.5,0.04485
293,OSIPelvis_1 <= 0.5 and SFxPalpDepress_1.0 <= 0.5,-0.01337
299,SFxBasOto_0 <= 0.5,0.03348
300,SFxBasRhi_0 <= 0.5,-0.15449
322,SFxBasRhi_92 > 0.5,-0.01914
333,AgeInMonth > 0.5,-0.03109
335,SFxBas_0.0 > 0.5,-0.04522
306,SFxPalpDepress_1.0 <= 0.5 and SFxBasRhi_0 <= 0.5,-0.15302
289,SFxBasHem_1 <= 0.5 and NeuroDOth_1 <= 0.5,-0.01762
332,AMSRepeat_1 <= 0.5,-0.24023
261,InjuryMech_BikeMV <= 0.5,0.20572
309,AgeInMonth <= 212.5 and ActNorm_nan <= 0.5,0.01341
305,SFxPalpDepress_92.0 > 0.5 and AMSRepeat_1 <= 0.5,-1.76663
281,SFxBasHem_1 <= 0.5 and AMSRepeat_1 <= 0.5 and SFxBasPer_1 <= 0.5,0.76747
331,InjuryMech_BikeMV <= 0.5 and SFxPalpDepress_92.0 > 0.5,0.04168
288,AMSAgitated_1 <= 0.5,0.0966
315,HASeverity_Severe <= 0.5,-0.02197
314,SFxPalp_Unclear <= 0.5,-0.0881
317,NeuroDMotor_1 <= 0.5 and AMSAgitated_1 <= 0.5,0.17315
308,SFxPalp_Unclear <= 0.5 and SeizOccur_>30 minutes after injury <= 0.5,-0.08254
291,SFxPalp_No > 0.5,0.23714
329,LocLen_1-5 min <= 0.5,0.01031
334,InjuryMech_PedesMV <= 0.5,0.05848
307,AMSSlow_1 <= 0.5,0.13475
282,FontBulg_0.0 > 0.5 and InjuryMech_PedesMV <= 0.5,-0.03164
294,SFxPalpDepress_1.0 <= 0.5 and AMSSlow_1 <= 0.5,-0.3844
302,ClavTem_1 <= 0.5 and NeuroDReflex_1 <= 0.5,-0.26647
264,SFxPalpDepress_1.0 <= 0.5 and OSIOth_1 <= 0.5 and AMSAgitated_1 <= 0.5,-0.806
292,LOCSeparate_Suspected <= 0.5 and SeizOccur_>30 minutes after injury <= 0.5,1.14166
297,LOCSeparate_Suspected <= 0.5 and SFxBasOto_1 <= 0.5 and SFxPalpDepress_0.0 <= 0.5,-0.54803
278,NeuroDMotor_1 <= 0.5 and AMSSleep_0 <= 0.5,-0.88348
284,AMSSleep_0 <= 0.5 and ActNorm_nan <= 0.5,-0.37233
298,LOCSeparate_Suspected <= 0.5 and SFxBasHem_1 <= 0.5 and AMSAgitated_1 <= 0.5,-0.05804
280,OSIPelvis_1 <= 0.5 and AMSSleep_1 <= 0.5,0.42175
283,HemaSize_Large <= 0.5,-0.17608
286,AgeInMonth > 0.5 and OSIOth_0 <= 0.5,-0.9884
279,AMSRepeat_1 <= 0.5 and HemaLoc_Parietal/Temporal <= 0.5,-0.47119
285,AMSAgitated_0 <= 0.5,-0.17986
323,AMSOth_0 <= 0.5,-0.12635
271,SFxBasRhi_0 <= 0.5 and AMSRepeat_0 <= 0.5 and SFxBasRet_1 <= 0.5,0.60107
277,High_impact_InjSev_High <= 0.5,-0.40791
349,High_impact_InjSev_High > 0.5,0.53996
342,AMSAgitated_0 > 0.5 and InjuryMech_ObjStruckHead <= 0.5,0.40727
352,SFxBasRet_0 <= 0.5 and LocLen_1-5 min <= 0.5 and AMSOth_0 > 0.5,0.46664
336,ClavTem_1 <= 0.5 and SFxBasRhi_0 <= 0.5 and InjuryMech_FallStair <= 0.5 and AMSRepeat_0 > 0.5 and SFxBasRet_1 <= 0.5 and HASeverity_Severe <= 0.5,-1.01058
341,AMSRepeat_1 <= 0.5 and HemaLoc_Parietal/Temporal > 0.5 and Vomit_0.0 > 0.5,-0.18584
351,VomitStart_1-4 hrs after event <= 0.5 and AgeInMonth > 0.5 and OSIOth_0 > 0.5,0.33386
346,HemaSize_Large > 0.5,-0.12316
347,OSIPelvis_1 <= 0.5 and AMSSleep_1 > 0.5,-1.2021
355,NeuroDMotor_1 <= 0.5 and AMSSleep_0 > 0.5,2.54336
345,InjuryMech_Assault <= 0.5 and AMSSleep_0 > 0.5 and ActNorm_nan <= 0.5,0.88078
353,LOCSeparate_Suspected > 0.5 and SFxPalp_Unclear <= 0.5 and SeizOccur_>30 minutes after injury <= 0.5,-10.69363
343,LOCSeparate_Suspected > 0.5 and AgeInMonth > 24.0 and SFxBasOto_1 <= 0.5 and SFxPalpDepress_0.0 <= 0.5,5.43553
272,LOCSeparate_Suspected > 0.5 and SFxBasHem_1 <= 0.5 and AMSAgitated_1 <= 0.5 and HA_verb_91.0 <= 0.5,0.19926
358,ClavTem_1 > 0.5 and NeuroDReflex_1 <= 0.5,-8.58982
357,LocLen_>5 min <= 0.5 and InjuryMech_PedesMV > 0.5,0.63947
350,HASeverity_Severe <= 0.5 and InjuryMech_PedesMV > 0.5,-0.00437
363,Vomit_1.0 <= 0.5 and InjuryMech_PedesMV > 0.5,-1.07349
344,SFxPalp_No > 0.5 and AMSSlow_1 > 0.5 and InjuryMech_BikeCol <= 0.5,-0.75171
365,LocLen_1-5 min > 0.5,0.28521
348,ActNorm_0.0 <= 0.5 and FontBulg_0.0 > 0.5 and InjuryMech_PedesMV > 0.5,-0.09023
252,SFxPalpDepress_1.0 <= 0.5 and VomitStart_Not applicable > 0.5 and AMSSlow_1 > 0.5,2.16021
257,SFxPalp_No <= 0.5 and AMSSleep_0 <= 0.5,0.27645
367,SFxPalp_Unclear > 0.5,0.96793
361,HASeverity_Severe > 0.5,-0.76844
356,AMSAgitated_1 <= 0.5 and HASeverity_Severe > 0.5,-0.40747
366,NeuroDMotor_1 <= 0.5 and AMSAgitated_1 > 0.5,-1.25464
359,AMSAgitated_1 > 0.5,-1.18671
254,LOCSeparate_No > 0.5 and SFxPalp_Unclear > 0.5,0.19165
362,AgeInMonth <= 182.0 and AMSAgitated_1 > 0.5,-0.7744
354,SFxPalpDepress_1.0 <= 0.5 and OSIOth_1 > 0.5 and AMSAgitated_1 <= 0.5,-2.21008
248,SFxBasHem_1 <= 0.5 and AMSAgitated_1 > 0.5 and HASeverity_Not applicable > 0.5,-0.454
256,SFxPalpDepress_1.0 <= 0.5 and AgeInMonth <= 208.5 and AMSAgitated_1 > 0.5 and Vomit_0.0 > 0.5,6.08141
373,AMSRepeat_1 <= 0.5 and HemaLoc_Parietal/Temporal > 0.5 and Vomit_0.0 <= 0.5,0.37129
247,LOCSeparate_No > 0.5 and AMSAgitated_1 > 0.5,-1.35302
263,LOCSeparate_Suspected <= 0.5 and InjuryMech_BikeMV > 0.5,-7.34026
376,AMSRepeat_1 > 0.5,1.89055
369,AgeInMonth > 212.5 and ActNorm_nan <= 0.5,-0.50931
230,AMSRepeat_1 > 0.5 and SFxBasPer_1 <= 0.5 and InjuryMech_PedesMV <= 0.5,-11.93247
239,LOCSeparate_Suspected <= 0.5 and AMSRepeat_1 > 0.5,1.48086
237,SFxBasRet_0 <= 0.5 and AMSRepeat_1 > 0.5 and Amnesia_verb_1.0 > 0.5,1.85119
251,AgeInMonth <= 194.0 and AMSRepeat_1 > 0.5,2.21091
360,InjuryMech_BikeMV > 0.5 and HA_verb_1.0 <= 0.5 and SFxPalpDepress_92.0 > 0.5,4.07375
378,AgeInMonth <= 0.5,0.14534
372,SFxBasRhi_92 <= 0.5,-0.41202
370,SFxPalpDepress_1.0 <= 0.5 and SFxBasRhi_0 > 0.5,1.18162
371,SFxBasOto_0 > 0.5,0.00821
380,SFxBasRet_0 <= 0.5 and LocLen_1-5 min > 0.5 and AMSOth_0 > 0.5,0.58318
270,LOCSeparate_Suspected > 0.5 and SFxBasHem_1 <= 0.5 and OSIAbdomen_0 <= 0.5 and AMSAgitated_1 <= 0.5 and AgeinYears <= 2.5 and HA_verb_91.0 > 0.5,2.29679
368,SFxBasRet_0 > 0.5,-0.1133
364,ClavTem_1 <= 0.5 and SFxBasRhi_0 <= 0.5 and InjuryMech_FallStair <= 0.5 and AMSRepeat_0 > 0.5 and SFxBasRet_1 <= 0.5 and HASeverity_Severe > 0.5,-2.15573
384,LOCSeparate_No <= 0.5 and AMSAgitated_1 > 0.5,-0.29688
249,ClavFace_0 <= 0.5 and AgeInMonth <= 0.5,-4.33106
276,ClavOcc_1 <= 0.5 and LocLen_>5 min > 0.5,0.17896
391,InjuryMech_BikeMV > 0.5 and HA_verb_1.0 > 0.5 and SFxPalpDepress_92.0 > 0.5,7.0316
394,LOCSeparate_Suspected > 0.5 and AgeInMonth <= 24.0 and SFxBasOto_1 <= 0.5 and SFxPalpDepress_0.0 <= 0.5,5.2025
438,ClavTem_1 > 0.5 and SFxBasRhi_0 <= 0.5 and AMSRepeat_0 > 0.5 and SFxBasRet_1 <= 0.5,-1.48689
399,SFxPalpDepress_1.0 <= 0.5 and VomitStart_Not applicable <= 0.5 and AMSSlow_1 > 0.5 and HASeverity_Moderate <= 0.5,3.22979
234,SFxBas_0.0 <= 0.5 and AMSAgitated_92 > 0.5,-0.58547
250,AgeInMonth <= 0.5 and ClavNeck_0 <= 0.5,5.41261
255,SFxBasHem_1 <= 0.5 and NeuroDOth_1 > 0.5 and AMSAgitated_0 <= 0.5,0.96542
238,LOCSeparate_No > 0.5 and SFxBasRhi_0 > 0.5,1.73629
259,SFxBasOto_1 <= 0.5 and HASeverity_Moderate <= 0.5 and SeizOccur_Immediately on contact > 0.5,-9.8288
233,InjuryMech_FallElev <= 0.5 and SFxBasRhi_0 > 0.5 and SFxBasRet_1 <= 0.5,2.22669
377,OSIPelvis_1 > 0.5,0.32958
375,OSIPelvis_1 > 0.5 and SFxPalpDepress_1.0 <= 0.5,0.70289
390,SFxBasPer_0 > 0.5 and OSIPelvis_0 <= 0.5,-0.09585
379,AMSAgitated_0 > 0.5 and InjuryMech_ObjStruckHead > 0.5,0.06936
240,SFxBasPer_0 > 0.5 and ClavPar_1 <= 0.5,-0.07873
269,SFxBasRet_0 > 0.5 and AMS_1.0 <= 0.5,-1.22119
381,ActNorm_0.0 > 0.5 and FontBulg_0.0 > 0.5 and InjuryMech_PedesMV > 0.5,0.28352
245,OSIPelvis_1 > 0.5 and VomitNbr_Not applicable > 0.5,-2.07896
463,ClavTem_1 <= 0.5 and AgeInMonth <= 30.5 and SFxBasRhi_0 <= 0.5 and InjuryMech_FallStair > 0.5 and AMSRepeat_0 > 0.5 and SFxBasRet_1 <= 0.5,1.09415
455,SFxPalpDepress_1.0 <= 0.5 and AMSAgitated_1 > 0.5 and Vomit_0.0 <= 0.5,5.70241
389,SFxPalp_Yes > 0.5,0.36339
232,OSIPelvis_1 > 0.5 and Vomit_0.0 > 0.5,1.27768
436,SFxBasHem_1 <= 0.5 and AMSAgitated_1 > 0.5 and HASeverity_Not applicable <= 0.5,-0.2534
386,InjuryMech_Assault > 0.5 and AMSSleep_0 > 0.5 and ActNorm_nan <= 0.5,3.01428
415,SFxBasHem_0 > 0.5,-0.06888
273,AgeInMonth <= 200.5 and ActNorm_nan > 0.5,-1.30228
393,SFxBasHem_1 > 0.5,0.9652
382,SFxBasHem_1 > 0.5 and SeizLen_>15 min <= 0.5,-0.51608
374,SFxPalpDepress_92.0 <= 0.5 and AMSRepeat_1 <= 0.5,3.45702
417,LOCSeparate_No <= 0.5 and SFxPalp_Unclear > 0.5,0.26245
218,SFxBasHem_1 > 0.5 and SFxBasOto_1 <= 0.5 and AMSRepeat_1 <= 0.5,4.0186
219,SFxBasHem_1 > 0.5 and AMSRepeat_1 <= 0.5 and SFxBasPer_1 <= 0.5,-0.66866
246,OSIPelvis_1 > 0.5 and OSIFlank_1 <= 0.5 and SFxBasOto_1 <= 0.5,0.00453
260,SFxPalpDepress_1.0 <= 0.5 and VomitStart_Not applicable <= 0.5 and AMSSlow_1 > 0.5 and HASeverity_Moderate > 0.5,0.82263
236,SFxBasHem_1 > 0.5 and VomitNbr_>2 times <= 0.5,0.21644
403,SFxBasHem_1 > 0.5 and OSI_0.0 > 0.5,-0.33714
416,AgeInMonth > 194.0 and AMSRepeat_1 > 0.5,2.96676
406,ActNorm_0.0 <= 0.5 and SFxBasHem_1 > 0.5,-1.1383
434,AgeInMonth <= 0.5 and ClavNeck_0 > 0.5,-0.20624
242,ActNorm_nan > 0.5 and Hema_0.0 > 0.5,-0.37648
462,NeuroDMotor_1 > 0.5,0.77929
265,ClavTem_1 <= 0.5 and AgeInMonth > 30.5 and SFxBasRhi_0 <= 0.5 and InjuryMech_FallStair > 0.5 and AMSRepeat_0 > 0.5 and SFxBasRet_1 <= 0.5,-9.02078
407,SFxPalpDepress_92.0 <= 0.5 and Clav_0.0 <= 0.5,-6.80439
410,Clav_nan <= 0.5 and SFxBas_0.0 <= 0.5 and AMSAgitated_92 <= 0.5,0.26834
442,SFxBasHem_1 <= 0.5 and NeuroDOth_1 > 0.5 and AMSAgitated_0 > 0.5,-1.30118
388,LOCSeparate_Suspected > 0.5 and AMSRepeat_1 > 0.5,3.27574
440,AMSRepeat_1 > 0.5 and Amnesia_verb_1.0 <= 0.5,3.57089
397,SFxPalp_No <= 0.5 and AMSSleep_0 > 0.5,-1.44208
419,High_impact_InjSev_Moderate > 0.5 and SFxBasHem_0 > 0.5,0.32621
221,SFxBasHem_1 > 0.5 and AgeinYears <= 10.5,-1.22114
267,ClavFace_0 <= 0.5 and NeuroDMotor_1 > 0.5 and SFxBasHem_1 <= 0.5,0.64053
226,SFxBasHem_1 > 0.5 and HAStart_Within 1 hr of event <= 0.5,0.76351
404,SFxBasPer_1 > 0.5,-1.18435
453,SFxPalpDepress_1.0 > 0.5,0.99515
392,SFxBasRet_0 > 0.5 and AMS_1.0 > 0.5,0.66482
447,AMSSlow_1 > 0.5 and InjuryMech_BikeCol > 0.5,-0.78377
398,ClavFace_0 > 0.5 and AgeInMonth <= 0.5,1.77167
268,SFxBasHem_1 > 0.5 and HemaLoc_Not applicable > 0.5,0.95312
387,SFxBasHem_1 > 0.5 and Amnesia_verb_0.0 > 0.5,-0.39002
413,SFxBasRet_0 > 0.5 and AMSOth_0 > 0.5,-3.79572
437,NeuroDMotor_1 > 0.5 and HA_verb_1.0 > 0.5,0.21718
217,SFxBasHem_1 > 0.5 and Amnesia_verb_0.0 <= 0.5,-1.84278
396,VomitStart_1-4 hrs after event > 0.5 and AgeInMonth > 0.5 and OSIOth_0 > 0.5,1.09772
409,AgeInMonth > 182.0 and AMSAgitated_1 > 0.5,-8.84595
454,Vomit_1.0 > 0.5 and InjuryMech_PedesMV > 0.5,-0.4227
459,SFxBasHem_1 > 0.5 and HemaLoc_Not applicable <= 0.5,0.81676
266,SFxBasPer_1 > 0.5 and LOCSeparate_Yes <= 0.5,-3.47861
443,LOCSeparate_Suspected > 0.5 and SFxBasHem_1 <= 0.5 and AMSAgitated_1 <= 0.5 and AgeinYears > 2.5 and HA_verb_91.0 > 0.5,2.64321
274,LOCSeparate_No <= 0.5 and SFxBasRhi_0 > 0.5 and HASeverity_Moderate <= 0.5,-0.19363
411,SFxBasHem_1 > 0.5 and HAStart_Within 1 hr of event > 0.5,-2.20749
231,High_impact_InjSev_Moderate <= 0.5 and SFxBasHem_0 > 0.5,-1.25886
445,ActNorm_nan > 0.5 and Hema_0.0 <= 0.5,2.76608
224,SFxPalpDepress_1.0 > 0.5 and AgeinYears > 1.0,1.29054
441,SFxPalpDepress_0.0 > 0.5,-0.55688
429,OSIPelvis_1 > 0.5 and OSIFlank_1 > 0.5 and SFxBasOto_1 <= 0.5,0.00255
414,InjuryMech_FallElev > 0.5 and Amnesia_verb_1.0 <= 0.5 and SFxBasRhi_0 > 0.5 and SFxBasRet_1 <= 0.5,2.30357
464,SFxPalpDepress_1.0 > 0.5 and AgeinYears <= 4.0,0.19925
402,SFxBasHem_1 > 0.5 and AgeinYears > 10.5,1.75265
383,SFxBasPer_1 <= 0.5 and OSICut_1 > 0.5,0.30708
457,OSICut_1 > 0.5,0.78964
225,SFxPalpDepress_1.0 > 0.5 and AgeinYears > 2.0,-4.1058
424,SFxPalp_Yes <= 0.5 and OSICut_1 > 0.5,1.28816
385,SFxBasHem_1 <= 0.5 and SeizOccur_>30 minutes after injury > 0.5,-0.69729
435,LOCSeparate_Suspected > 0.5 and SFxPalp_Unclear > 0.5 and SeizOccur_>30 minutes after injury <= 0.5,-11.34177
243,NeuroDMotor_1 > 0.5 and HA_verb_1.0 <= 0.5,0.12681
427,AMSAgitated_1 > 0.5 and HASeverity_Severe > 0.5,-0.07682
235,AgeInMonth <= 103.0 and SFxPalp_Unclear <= 0.5 and SeizOccur_>30 minutes after injury > 0.5,-7.57621
228,SFxBasOto_1 <= 0.5 and SFxPalpDepress_0.0 > 0.5 and AMSRepeat_0 <= 0.5,-6.24148
262,LOCSeparate_Suspected > 0.5 and InjuryMech_BikeMV > 0.5 and High_impact_InjSev_High > 0.5,-16.65444
405,SFxPalpDepress_1.0 > 0.5 and AgeinYears <= 2.0,2.35083
428,AMSRepeat_1 > 0.5 and SFxBasPer_1 <= 0.5 and InjuryMech_PedesMV > 0.5,-12.17398
395,SFxBasOto_1 <= 0.5 and HASeverity_Moderate > 0.5 and SeizOccur_Immediately on contact > 0.5,1.77322
244,FontBulg_0.0 <= 0.5 and AMS_0.0 > 0.5,-8.70105
258,SFxPalpDepress_1.0 > 0.5 and AgeinYears > 4.0,6.51661
253,SFxPalpDepress_92.0 <= 0.5 and Clav_0.0 > 0.5,-5.97896
430,SFxBasRet_1 > 0.5,-1.47298
420,SFxBasPer_0 > 0.5 and ClavPar_1 > 0.5,1.52036
222,ActNorm_0.0 > 0.5 and SFxBasHem_1 > 0.5,-4.08884
439,HASeverity_Severe > 0.5 and InjuryMech_PedesMV > 0.5,-0.77928
229,SFxBasPer_0 > 0.5 and OSIPelvis_0 > 0.5,2.07924
408,SFxPalpDepress_1.0 > 0.5 and AgeinYears <= 1.0,1.15429
448,SFxBas_nan > 0.5,2.79787
465,SeizLen_5-15 min > 0.5,1.25862
444,SFxPalp_No <= 0.5 and AMSSlow_1 > 0.5 and InjuryMech_BikeCol <= 0.5,0.96099
220,SFxBasHem_1 > 0.5 and OSI_0.0 <= 0.5,-2.63462
432,NeuroDReflex_1 > 0.5,-3.40428
449,ClavOcc_1 > 0.5 and LocLen_>5 min > 0.5,0.1157
421,LOCSeparate_No <= 0.5 and SFxBasRhi_0 > 0.5 and HASeverity_Moderate > 0.5,4.24786
227,ClavOcc_0 <= 0.5 and SeizLen_5-15 min > 0.5,-6.65886
275,Sedated_1.0 > 0.5 and HemaLoc_Not applicable > 0.5,-8.75338
426,SFxBasHem_1 > 0.5 and VomitNbr_>2 times > 0.5,1.90928
423,SFxBasOto_1 > 0.5,0.26651
450,SFxPalpDepress_1.0 <= 0.5 and AgeInMonth > 208.5 and AMSAgitated_1 > 0.5 and Vomit_0.0 > 0.5,14.36106
452,AgeInMonth > 200.5 and ActNorm_nan > 0.5,5.99586
458,ClavFace_0 > 0.5 and NeuroDMotor_1 > 0.5 and SFxBasHem_1 <= 0.5,0.58532
451,LocLen_>5 min > 0.5 and InjuryMech_PedesMV > 0.5,3.09404
422,SFxBasOto_1 <= 0.5 and SFxPalpDepress_0.0 > 0.5 and AMSRepeat_0 > 0.5,2.13938
456,LOCSeparate_Suspected > 0.5 and InjuryMech_BikeMV > 0.5 and High_impact_InjSev_High <= 0.5,-2.10549
418,OSIPelvis_1 > 0.5 and Vomit_0.0 <= 0.5,1.08276
461,LOCSeparate_Suspected > 0.5 and SFxBasHem_1 <= 0.5 and OSIAbdomen_0 > 0.5 and AMSAgitated_1 <= 0.5 and AgeinYears <= 2.5 and HA_verb_91.0 > 0.5,4.39967
460,SeizLen_>15 min > 0.5,6.53761
446,OSIPelvis_1 > 0.5 and VomitNbr_Not applicable <= 0.5,2.78983
431,Sedated_1.0 > 0.5 and HemaLoc_Not applicable <= 0.5,2.01406
400,SFxBasHem_1 > 0.5 and SFxBasOto_1 <= 0.5 and AMSRepeat_1 > 0.5,12.22166
401,SFxBasRet_0 > 0.5 and AMSRepeat_1 > 0.5 and Amnesia_verb_1.0 > 0.5,-12.91537
433,AgeInMonth > 103.0 and SFxPalp_Unclear <= 0.5 and SeizOccur_>30 minutes after injury > 0.5,0.75577
412,FontBulg_0.0 <= 0.5 and AMS_0.0 <= 0.5,2.36022
425,ClavOcc_0 > 0.5 and SeizLen_5-15 min > 0.5,5.68624
223,InjuryMech_FallElev > 0.5 and Amnesia_verb_1.0 > 0.5 and SFxBasRhi_0 > 0.5 and SFxBasRet_1 <= 0.5,-8.02782
241,Clav_nan > 0.5 and SFxBas_0.0 <= 0.5 and AMSAgitated_92 <= 0.5,-5.24865
